AA,odd,AA D,yes
AE,at,AE T,yes
AH,hut,HH AH T,yes
AO,ought,AO T,yes
AW,cow,K AW,yes
AY,hide,HH AY D,yes
B ,be,B IY,
CH,cheese,CH IY Z,
D ,dee,D IY,
DH,thee,DH IY,
EH,Ed,EH D,yes
ER,hurt,HH ER T,
EY,ate,EY T,yes
F ,fee,F IY,
G ,green,G R IY N,
HH,he,HH IY,
IH,it,IH T,yes
IY,eat,IY T,yes
JH,gee,JH IY,
K ,key,K IY,
L ,lee,L IY,
M ,me,M IY,
N ,knee,N IY,
NG,ping,P IH NG,
OW,oat,OW T,yes
OY,toy,T OY,yes
P ,pee,P IY,
R ,read,R IY D,
S ,sea,S IY,
SH,she,SH IY,
T ,tea,T IY,
TH,theta,TH EY T AH,
UH,hood,HH UH D,yes
UW,two,T UW,yes
V ,vee,V IY,
W ,we,W IY,reasonable
Y ,yield,Y IY L D,reasonable
Z ,zee,Z IY,
ZH,seizure,S IY ZH ER,
